Name,Platform,Publisher,Developer,Total Sales,Critic_Score,User_Score,Year
Game of Thrones: A Telltale Games Series,PS4,Telltale Games,Telltale Games,60000,6.9,6.5,2015
Gears of War: Ultimate Edition,XOne,Microsoft Studios,The Coalition,3280000,8.2,7.6,2015
Axiom Verge,PS4,Thomas Happ Games,Thomas Happ Games,40000,8.4,7.8,2015
LEGO Dimensions,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,410000,8,7,2015
LEGO Jurassic World,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1180000,7,7.1,2015
LEGO Jurassic World,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,650000,7,6.6,2015
LEGO Dimensions,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1180000,8,7.2,2015
Call of Duty: Black Ops 3,PS4,Activision,Treyarch,15090000,8.1,4.9,2015
Forza Motorsport 6,XOne,Microsoft Studios,Turn 10 Studios,1800000,8.7,7.7,2015
Evolve,XOne,2K Games,Turtle Rock Studios,640000,7.4,5.1,2015
Evolve,PS4,2K Games,Turtle Rock Studios,1010000,7.6,4.3,2015
Zombi,PS4,Ubisoft,Ubisoft Montpellier,70000,7.5,5.8,2015
Just Dance 2016,XOne,Ubisoft,Ubisoft Paris,320000,6.6,6.1,2015
Just Dance 2016,PS4,Ubisoft,Ubisoft Paris,390000,7.3,5.8,2015
Assassin's Creed Syndicate,XOne,Ubisoft,Ubisoft Quebec,1300000,7.8,6.3,2015
Assassin's Creed Syndicate,PS4,Ubisoft,Ubisoft Quebec,3600000,8.6,6.9,2015
State of Decay: Year One Survival Edition,XOne,Microsoft Studios,Undead Labs,,7.2,6.8,2015
NBA 2K16,XOne,2K Sports,Visual Concepts,2340000,8.3,6.1,2015
NBA 2K16,PS4,2K Sports,Visual Concepts,3980000,8.7,6.7,2015
Saints Row IV: Re-Elected,XOne,Deep Silver,Volition Inc.,,7.3,7.4,2015
Saints Row IV: Re-Elected,PS4,Deep Silver,Volition Inc.,420000,7.5,7.3,2015
Shovel Knight,XOne,Yacht Club Games,Yacht Club Games,,8.6,7.7,2015
Shovel Knight,PS4,Yacht Club Games,Yacht Club Games,140000,9,7.7,2015
WWE 2K16,XOne,Take-Two Interactive,Yuke's,590000,7.2,5.4,2015
WWE 2K16,PS4,Take-Two Interactive,Yuke's,1290000,7.3,7.2,2015
The Elder Scrolls Online: Tamriel Unlimited,PS4,Bethesda Softworks,ZeniMax Online Studios,2050000,7.4,7.7,2015
The Elder Scrolls Online: Tamriel Unlimited,XOne,Bethesda Softworks,ZeniMax Online Studios,,7.7,8.3,2015
Psycho-Pass: Mandatory Happiness,PS4,NIS America,5pb. Inc.,150000,7.2,6.7,2016
Steins;Gate 0,PS4,PQube,5pb. Inc.,70000,8.1,7.9,2016
Aegis of Earth: Protonovus Assault,PS4,Aksys Games,Acquire,40000,5.7,6.4,2016
Sword Art Online: Hollow Realization,PS4,Namco Bandai Games,Aquria,410000,6.9,7.5,2016
BlazBlue: Central Fiction,PS4,Aksys Games,Arc System Works,170000,8.4,7.7,2016
Dishonored 2,PS4,Bethesda Softworks,Arkane Studios,1970000,8.8,7.9,2016
Dishonored 2,XOne,Bethesda Softworks,Arkane Studios,220000,8.8,7.2,2016
ReCore,XOne,Microsoft Studios,Armature Studio,150000,6.3,6.7,2016
Agatha Christie's The ABC Murders,XOne,Unfinished Pixel,Artefacts Studio,10000,6.6,6.7,2016
Agatha Christie's The ABC Murders,PS4,Unfinished Pixel,Artefacts Studio,80000,6.7,6.1,2016
The Elder Scrolls V: Skyrim Special Edition,XOne,Bethesda Softworks,Bethesda Softworks,,8.1,7.4,2016
The Elder Scrolls V: Skyrim Special Edition,PS4,Bethesda Softworks,Bethesda Softworks,3360000,8.3,7.1,2016
Sherlock Holmes: The Devil's Daughter,PS4,Bigben Interactive,Bigben Interactive,60000,7.1,7.1,2016
Sherlock Holmes: The Devil's Daughter,XOne,Bigben Interactive,Bigben Interactive,,6.6,7.1,2016
BioShock: The Collection,XOne,2K Games,"Blind Squirrel Digital, Inc",,8.4,8.7,2016
BioShock: The Collection,PS4,2K Games,"Blind Squirrel Digital, Inc",860000,8.4,8.4,2016
Overwatch,PS4,Blizzard Entertainment,Blizzard Entertainment,4540000,8.8,6.4,2016
Overwatch,XOne,Blizzard Entertainment,Blizzard Entertainment,1060000,8.7,5.9,2016
Gravity Rush Remastered,PS4,Sony Computer Entertainment,Bluepoint Games,180000,7.9,8.1,2016
Gravity Rush Remastered,PS4,Sony Computer Entertainment Europe,Bluepoint Games,,8,8.1,2016
EVE: Valkyrie,PS4,Sony Interactive Entertainment,CCP,210000,7.1,6.8,2016
Touhou Genso Rondo: Bullet Ballet,PS4,NIS America,CUBETYPE,70000,5.5,5.3,2016
Street Fighter V,PS4,Capcom,Capcom,1390000,7.7,3.6,2016
Resident Evil 5,XOne,Capcom,Capcom,,7.5,7.3,2016
Resident Evil 6,XOne,Capcom,Capcom,50000,6.3,6.4,2016
Resident Evil 5,PS4,Capcom,Capcom,70000,6.9,7.4,2016
Resident Evil 4,PS4,Capcom,Capcom,100000,8.2,8.2,2016
Resident Evil 6,PS4,Capcom,Capcom,170000,6,6.6,2016
Dead Rising 4,XOne,Microsoft Studios,Capcom,,7.2,4.7,2016
Resident Evil 4,XOne,Capcom,Capcom,,7.6,8,2016
DiRT Rally,XOne,Codemasters,Codemasters,120000,8.6,8.1,2016
DiRT Rally,PS4,Codemasters,Codemasters,510000,8.5,7.9,2016
F1 2016,XOne,Codemasters,Codemasters,,8.5,7.8,2016
Mighty No. 9,PS4,Deep Silver,Comcept,110000,5.2,3.5,2016
Megadimension Neptunia VII,PS4,Idea Factory International,Compile Heart,40000,7.1,7,2016
Fairy Fencer F: Advent Dark Force,PS4,Idea Factory International,Compile Heart,140000,7.1,6.8,2016
Robinson: The Journey,PS4,Sony Interactive Entertainment,Crytek,270000,6.4,6.7,2016
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Namco Bandai Games,CyberConnect2,1540000,7.9,8,2016
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,Namco Bandai Games,CyberConnect2,300000,8,8.4,2016
Life is Strange,PS4,Square Enix,DONTNOD Entertainment,370000,8.5,8.6,2016
Homefront: The Revolution,PS4,Deep Silver,Dambuster Studios,500000,4.8,4,2016
Homefront: The Revolution,XOne,Deep Silver,Dambuster Studios,140000,4.9,4.5,2016
Mega Man Legacy Collection,PS4,Capcom,Digital Eclipse Software,110000,7.7,6.4,2016
Dragon Ball: Xenoverse 2,XOne,Namco Bandai Games,Dimps Corporation,200000,7.3,7.9,2016
Dragon Ball: Xenoverse 2,PS4,Namco Bandai Games,Dimps Corporation,1500000,7.1,7.5,2016
NHL 17,PS4,EA Sports,EA Canada,520000,7.8,5.6,2016
FIFA 17,PS4,Electronic Arts,EA Canada,10940000,8.9,4.8,2016
FIFA 17,XOne,Electronic Arts,EA Canada,2650000,8.8,5.1,2016
EA Sports UFC 2,XOne,EA Sports,EA Canada,410000,7.6,5.6,2016
NHL 17,XOne,EA Sports,EA Canada,240000,7.7,4,2016
EA Sports UFC 2,PS4,EA Sports,EA Canada,1310000,7.9,5.8,2016
Mirror's Edge Catalyst,PS4,Electronic Arts,EA DICE,420000,6.9,5.6,2016
Battlefield 1,XOne,Electronic Arts,EA DICE,2250000,9.3,7.6,2016
Battlefield 1,PS4,Electronic Arts,EA DICE,7260000,9.1,7.9,2016
Mirror's Edge Catalyst,XOne,Electronic Arts,EA DICE,160000,7.2,5.7,2016
Madden NFL 17,PS4,EA Sports,EA Tiburon,3280000,8.5,4.4,2016
Madden NFL 17,XOne,EA Sports,EA Tiburon,1230000,8.1,5.4,2016
Deus Ex: Mankind Divided,PS4,Square Enix,Eidos Montreal,720000,8.4,7.6,2016
Deus Ex: Mankind Divided,XOne,Square Enix,Eidos Montreal,170000,8.3,7.3,2016
Driveclub VR,PS4,Sony Interactive Entertainment,Evolution Studios,270000,6.6,6.7,2016
Nitroplus Blasterz: Heroines Infinite Duel,PS4,Xseed Games,Examu Inc.,50000,7,6.8,2016
XCOM 2,XOne,2K Games,Firaxis Games,50000,8.7,7.4,2016
XCOM 2,PS4,2K Games,Firaxis Games,310000,8.7,7.3,2016
Dark Souls III,PS4,Namco Bandai Games,From Software,2420000,8.9,8.8,2016
Dark Souls III,XOne,Namco Bandai Games,From Software,390000,8.7,8.6,2016
Duke Nukem 3D: 20th Anniversary World Tour,PS4,Gearbox Software,Gearbox Software,90000,7.7,7.4,2016
Battleborn,PS4,2K Games,Gearbox Software,480000,6.8,6.8,2016
Battleborn,XOne,2K Games,Gearbox Software,150000,7.1,7.2,2016
Farming Simulator 17,PS4,Focus Home Interactive,Giants Software,850000,6.9,6.5,2016
Let It Die,PS4,GungHo,Grasshopper Manufacture,10000,7.2,7.2,2016
RIGS: Mechanized Combat League,PS4,Sony Interactive Entertainment,Guerrilla Cambridge,230000,7.8,7.6,2016
